Frame,time,RawF_1, F0_1, R_1
281,9.33333,24.84329,23.30156,0.08139
282,9.36667,24.82251,23.30480,0.08074
283,9.40000,24.91862,23.30480,0.08094
284,9.43333,24.65022,23.30882,0.07898
285,9.46667,24.76970,23.30954,0.07824
286,9.50000,24.66840,23.33454,0.07662
287,9.53333,24.57489,23.35144,0.07438
288,9.56667,24.61559,23.36251,0.07272
289,9.60000,24.61645,23.38758,0.07111
290,9.63333,24.50130,23.40113,0.06874
291,9.66667,24.44848,23.41878,0.06617
292,9.70000,24.22597,23.43418,0.06214
293,9.73333,24.60606,23.43896,0.06164
294,9.76667,24.60000,23.44540,0.06113
295,9.80000,24.42424,23.44736,0.05930
296,9.83333,24.51948,23.44736,0.05849
297,9.86667,24.54199,23.44736,0.05797
298,9.90000,24.37229,23.44736,0.05621
299,9.93333,24.45022,23.44736,0.05532
300,9.96667,24.17489,23.44736,0.05241
301,10.00000,24.26580,23.44736,0.05067
302,10.03333,24.23117,23.44736,0.04892
303,10.06667,24.15584,23.44736,0.04685
304,10.10000,24.19221,23.44736,0.04539
305,10.13333,24.12294,23.44736,0.04360
306,10.16667,24.21299,23.44736,0.04280
307,10.20000,24.03203,23.45052,0.04067
308,10.23333,23.81039,23.46418,0.03705
309,10.26667,23.81558,23.46418,0.03402
310,10.30000,23.87879,23.47261,0.03188
311,10.33333,23.85455,23.48790,0.02977
312,10.36667,23.80519,23.49309,0.02755
313,10.40000,23.75411,23.51074,0.02515
314,10.43333,23.76797,23.52678,0.02309
315,10.46667,23.69524,23.54229,0.02067
316,10.50000,23.54892,23.56047,0.01734
317,10.53333,23.77922,23.58916,0.01609
318,10.56667,23.62771,23.61882,0.01363
319,10.60000,23.78528,23.64901,0.01254
320,10.63333,23.69524,23.68402,0.01064
321,10.66667,23.70476,23.72908,0.00877
322,10.70000,23.69784,23.76661,0.00685
323,10.73333,23.55584,23.81069,0.00381
324,10.76667,23.66840,23.84314,0.00184
325,10.80000,23.63463,23.81721,0.00010
326,10.83333,23.64329,23.79492,-0.00112
327,10.86667,23.68745,23.77297,-0.00165
328,10.90000,23.60000,23.75024,-0.00260
329,10.93333,23.59134,23.72321,-0.00326
330,10.96667,23.47879,23.69915,-0.00450
331,11.00000,23.44589,23.68330,-0.00567
332,11.03333,23.47099,23.66832,-0.00636
333,11.06667,23.34978,23.64532,-0.00770
334,11.10000,23.57403,23.63313,-0.00701
335,11.13333,23.45714,23.61799,-0.00721
336,11.16667,23.54892,23.60907,-0.00660
337,11.20000,23.58009,23.60090,-0.00578
338,11.23333,23.56277,23.59515,-0.00517
339,11.26667,23.41645,23.58938,-0.00573
340,11.30000,23.51948,23.57809,-0.00532
341,11.33333,23.32814,23.56507,-0.00636
342,11.36667,23.48831,23.55216,-0.00589
343,11.40000,23.52641,23.54482,-0.00514
344,11.43333,23.65195,23.54252,-0.00352
345,11.46667,23.47013,23.53262,-0.00347
346,11.50000,23.52468,23.53126,-0.00300
347,11.53333,23.61732,23.52904,-0.00185
348,11.56667,23.69004,23.52904,-0.00033
349,11.60000,23.72641,23.52904,0.00126
350,11.63333,23.58875,23.52904,0.00152
351,11.66667,23.45628,23.52452,0.00076
352,11.70000,23.42338,23.51722,-0.00009
353,11.73333,23.37576,23.51274,-0.00113
354,11.76667,23.41732,23.51150,-0.00168
355,11.80000,23.36450,23.50687,-0.00252
356,11.83333,23.23203,23.50175,-0.00422
357,11.86667,23.45281,23.49648,-0.00391
358,11.90000,23.27186,23.48842,-0.00499
359,11.93333,23.30649,23.47788,-0.00555
360,11.96667,23.31515,23.46636,-0.00587
361,12.00000,23.25455,23.45296,-0.00650
362,12.03333,23.19827,23.44348,-0.00740
363,12.06667,23.24156,23.43139,-0.00774
364,12.10000,23.38788,23.43139,-0.00687
365,12.13333,23.29957,23.42579,-0.00680
366,12.16667,23.22857,23.41284,-0.00719
367,12.20000,23.24416,23.39511,-0.00726
368,12.23333,23.46753,23.39499,-0.00558
369,12.26667,23.27100,23.38396,-0.00560
370,12.30000,23.49697,23.37873,-0.00381
371,12.33333,23.33939,23.36349,-0.00341
372,12.36667,23.64069,23.35976,-0.00068
373,12.40000,23.69091,23.35976,0.00201
374,12.43333,23.83117,23.35976,0.00539
375,12.46667,23.54719,23.35976,0.00602
376,12.50000,23.64502,23.35976,0.00733
377,12.53333,23.64242,23.35976,0.00842
378,12.56667,23.72987,23.35976,0.01001
379,12.60000,23.47013,23.35976,0.00933
380,12.63333,23.61645,23.35976,0.00990
381,12.66667,23.63636,23.35976,0.01054
382,12.70000,23.73507,23.35976,0.01186
383,12.73333,23.44416,23.35976,0.01070
384,12.76667,23.49178,23.35976,0.01009
385,12.80000,23.43290,23.35976,0.00912
386,12.83333,23.45281,23.35976,0.00845
387,12.86667,23.55931,23.35976,0.00873
388,12.90000,23.46234,23.35976,0.00819
389,12.93333,23.19481,23.35976,0.00565
390,12.96667,23.31169,23.35976,0.00442
391,13.00000,23.37403,23.35976,0.00386
392,13.03333,23.21126,23.35976,0.00211
393,13.06667,23.10217,23.35976,-0.00021
394,13.10000,23.12900,23.35976,-0.00198
395,13.13333,23.28831,23.35976,-0.00223
396,13.16667,22.97143,23.35976,-0.00492
397,13.20000,23.26407,23.35976,-0.00490
398,13.23333,23.27446,23.35976,-0.00481
399,13.26667,23.18355,23.35976,-0.00545
400,13.30000,23.19307,23.35976,-0.00591
401,13.33333,23.10996,23.34387,-0.00684
402,13.36667,23.11342,23.32836,-0.00747
403,13.40000,23.13160,23.30728,-0.00771
404,13.43333,23.08745,23.28342,-0.00808
405,13.46667,23.03290,23.25289,-0.00859
406,13.50000,22.87013,23.22793,-0.01009
407,13.53333,22.93160,23.20358,-0.01069
408,13.56667,22.94286,23.18227,-0.01095
409,13.60000,22.98788,23.16205,-0.01066
410,13.63333,22.96277,23.13612,-0.01040
411,13.66667,23.20260,23.12482,-0.00820
412,13.70000,23.32035,23.12482,-0.00541
413,13.73333,23.63723,23.12482,-0.00055
414,13.76667,23.60173,23.12482,0.00330
415,13.80000,23.48485,23.12482,0.00563
416,13.83333,23.29957,23.12482,0.00614
417,13.86667,23.55498,23.12482,0.00859
418,13.90000,23.42771,23.12482,0.00965
419,13.93333,23.63377,23.12482,0.01219
420,13.96667,23.37229,23.12482,0.01228
421,14.00000,23.36364,23.12482,0.01228
422,14.03333,23.37836,23.12482,0.01240
423,14.06667,23.20173,23.12482,0.01111
424,14.10000,23.08658,23.12482,0.00911
425,14.13333,23.35151,23.12482,0.00951
426,14.16667,23.32554,23.12482,0.00964
427,14.20000,23.50822,23.12482,0.01120
428,14.23333,23.33507,23.12482,0.01115
429,14.26667,23.42424,23.12482,0.01181
430,14.30000,23.54892,23.12482,0.01335
431,14.33333,23.24156,23.12482,0.01223
432,14.36667,23.61732,23.12482,0.01425
433,14.40000,23.51515,23.12482,0.01515
434,14.43333,23.50736,23.12482,0.01586
435,14.46667,23.46320,23.12482,0.01610
436,14.50000,23.39307,23.12482,0.01576
437,14.53333,23.42597,23.12482,0.01573
438,14.56667,23.34026,23.12482,0.01503
439,14.60000,23.33507,23.12482,0.01439
440,14.63333,23.13333,23.12482,0.01226
441,14.66667,23.14545,23.12482,0.01055
442,14.70000,23.08658,23.12482,0.00862
443,14.73333,23.10563,23.12482,0.00714
444,14.76667,23.05022,23.12482,0.00543
445,14.80000,23.31342,23.12482,0.00606
446,14.83333,22.94199,23.12482,0.00367
447,14.86667,23.07619,23.12482,0.00272
448,14.90000,23.25108,23.12482,0.00328
449,14.93333,22.94545,23.12482,0.00135
450,14.96667,23.22857,23.12482,0.00193
451,15.00000,23.25974,23.12482,0.00269
452,15.03333,23.38182,23.12482,0.00430
453,15.06667,23.22684,23.12482,0.00443
454,15.10000,23.32814,23.12482,0.00535
455,15.13333,23.25541,23.12482,0.00556
456,15.16667,23.04848,23.12482,0.00410
457,15.20000,23.11429,23.12482,0.00338
458,15.23333,23.05887,23.12482,0.00232
459,15.26667,22.90736,23.12482,0.00024
460,15.30000,23.19654,23.12482,0.00075
461,15.33333,22.93506,23.12482,-0.00088
462,15.36667,23.04069,23.12482,-0.00141
463,15.40000,23.02771,23.12482,-0.00199
464,15.43333,23.04848,23.12298,-0.00229
465,15.46667,23.18528,23.12298,-0.00146
466,15.50000,22.91688,23.11907,-0.00285
467,15.53333,22.99480,23.11665,-0.00339
468,15.56667,23.32554,23.11665,-0.00123
469,15.60000,23.48918,23.11665,0.00189
470,15.63333,23.58961,23.11665,0.00533
471,15.66667,23.66840,23.11665,0.00887
472,15.70000,23.51082,23.11665,0.01062
473,15.73333,23.51082,23.11665,0.01210
474,15.76667,23.62597,23.11665,0.01427
475,15.80000,23.21818,23.11665,0.01288
476,15.83333,23.34805,23.11665,0.01273
477,15.86667,23.31688,23.11665,0.01236
478,15.90000,23.30563,23.11665,0.01196
479,15.93333,23.24329,23.11665,0.01112
480,15.96667,23.25628,23.11665,0.01052
481,16.00000,23.27359,23.11665,0.01014
482,16.03333,23.20952,23.11665,0.00931
483,16.06667,23.00520,23.11665,0.00699
484,16.10000,23.11948,23.11665,0.00593
485,16.13333,23.06840,23.11665,0.00463
486,16.16667,22.99307,23.11665,0.00294
487,16.20000,23.15325,23.11665,0.00278
488,16.23333,23.15411,23.11665,0.00265
489,16.26667,23.37662,23.11665,0.00430
490,16.30000,23.21472,23.11665,0.00442
491,16.33333,23.13247,23.11665,0.00387
492,16.36667,23.29870,23.11665,0.00472
493,16.40000,23.21212,23.11665,0.00475
494,16.43333,23.36797,23.11665,0.00601
495,16.46667,23.35931,23.11665,0.00701
496,16.50000,23.31429,23.11665,0.00749
497,16.53333,23.50303,23.11665,0.00940
498,16.56667,23.34805,23.11665,0.00979
499,16.60000,23.27619,23.11665,0.00954
500,16.63333,23.31169,23.11665,0.00960
501,16.66667,23.27965,23.11665,0.00939
502,16.70000,23.25628,23.11665,0.00903
503,16.73333,23.30996,23.11665,0.00915
504,16.76667,23.43030,23.11665,0.01021
505,16.80000,23.43463,23.11665,0.01113
506,16.83333,23.44502,23.11665,0.01201
507,16.86667,23.27013,23.11665,0.01137
508,16.90000,23.21991,23.11665,0.01043
509,16.93333,23.28052,23.11665,0.01011
510,16.96667,23.20346,23.11665,0.00924
511,17.00000,23.16883,23.11665,0.00823
512,17.03333,23.21385,23.11665,0.00773
513,17.06667,23.32121,23.11665,0.00815
514,17.10000,23.11948,23.11665,0.00693
515,17.13333,23.36190,23.11665,0.00780
516,17.16667,23.30563,23.11665,0.00810
517,17.20000,23.16710,23.11665,0.00726
518,17.23333,23.41732,23.11665,0.00852
519,17.26667,23.19048,23.11665,0.00779
520,17.30000,23.40520,23.11665,0.00886
521,17.33333,23.45455,23.11665,0.01017
522,17.36667,23.48398,23.11665,0.01151
523,17.40000,23.49870,23.11665,0.01275
524,17.43333,23.57229,23.11665,0.01439
525,17.46667,23.39827,23.11665,0.01439
526,17.50000,23.33766,23.11665,0.01392
527,17.53333,23.31602,23.11665,0.01335
528,17.56667,23.35758,23.11665,0.01318
529,17.60000,23.40520,23.11665,0.01343
530,17.63333,23.25628,23.11665,0.01246
531,17.66667,23.40433,23.11665,0.01281
532,17.70000,23.31948,23.11665,0.01244
533,17.73333,23.17922,23.11665,0.01102
534,17.76667,23.09610,23.11665,0.00916
535,17.80000,22.75584,23.11665,0.00489
536,17.83333,22.91342,23.11665,0.00252
537,17.86667,22.96190,23.11665,0.00089
538,17.90000,23.17056,23.11665,0.00117
539,17.93333,23.24502,23.11665,0.00200
540,17.96667,23.40952,23.11665,0.00400
541,18.00000,23.05108,23.11665,0.00287
542,18.03333,23.34026,23.11665,0.00419
543,18.06667,23.08225,23.11665,0.00327
544,18.10000,23.10996,23.11665,0.00271
545,18.13333,22.97056,23.11665,0.00114
546,18.16667,22.95931,23.11665,-0.00029
547,18.20000,23.09784,23.11665,-0.00040
548,18.23333,23.16450,23.11665,0.00003
549,18.26667,22.89437,23.11665,-0.00174
550,18.30000,22.79221,23.11665,-0.00404
551,18.33333,22.89524,23.10759,-0.00511
552,18.36667,22.89264,23.08530,-0.00586
553,18.40000,22.93333,23.07126,-0.00607
554,18.43333,22.87792,23.04837,-0.00651
555,18.46667,22.85368,23.02812,-0.00691
556,18.50000,22.76364,23.01005,-0.00782
557,18.53333,22.82251,22.99816,-0.00802
558,18.56667,22.83030,22.99816,-0.00813
